NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
R S M TERAPIAS INTEGRADAS LTDA;TEAMOR CARPINA;Nome;55813-440;590;RUA ROSITA FREIRE;CAJÁ;CARPINA;PE;Limoeiro;NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA;;;;;81;997136001;9/19/2025 12:00:00 AM
CENTRO DIAGNOSTICO RENATO GODINHO LTDA;INSTITUTO DO APARELHO DIGESTIVO;Nome;39400-215;980;AVENIDA DEPUTADO ESTEVES RODRIGUES;CENTRO;MONTES CLAROS;MG;Montes Claros;ANESTESIOLOGIA  / GASTROENTEROLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / ENDOSCOPIA;38;32128787;;;;;9/19/2025 12:00:00 AM
TALITA LUZIA MORAES DE OLIVEIRA LTDA;CLINICA DE PSICOLOGIA SER ESSENCIA;Nome;37701-004;280;MINAS GERAIS;CENTRO;POCOS DE CALDAS;MG;Pouso Alegre;PSICOLOGIA;;;;;35;991177115;9/19/2025 12:00:00 AM
MAYARA PEREIRA VASCONCELOS;;Nome;79040-830;95;RUA DOUTOR EDUARDO MACHADO METELLO;CHÁCARA CACHOEIRA;CAMPO GRANDE;MS;NCT de Campo Grande;NUTRICAO;67;30222105;;;;;9/19/2025 12:00:00 AM
CLINICA INTEGRADA DE TERAPIAS ESPECIAIS DO PARANA LTDA;INSTITUTO SER CRIANCA;Nome;80040-280;2020;RUA DOUTOR GOULIN;JUVEVÊ;CURITIBA;PR;Metropolitana;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;41;31143266;;;;;9/19/2025 12:00:00 AM
QUININOS MEDICOS LTDA;QUININOS MEDICOS LTDA;Nome;59300-000;1883;TERESINHA LEITE;PENEDO;CAICO;RN;IV ETAM;PEDIATRIA;;;;;84;981483838;9/19/2025 12:00:00 AM
CLINLAB LTDA;CLINLAB;Nome;50100-020;860;AVENIDA JOÃO DE BARROS;SANTO AMARO;RECIFE;PE;Recife;MASTOLOGIA  / PEDIATRIA;81;21257925;81;21257924;81;998945807;9/19/2025 12:00:00 AM
RAISSA SALOMON SILVA;;Nome;30130-913;1314;RUA ALAGOAS;SAVASSI;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;;;;31;995532369;9/19/2025 12:00:00 AM
FABIANO AUGUSTO LUJAN PEREIRA;CLINICA HARMONIA THERASSUIT;Nome;14802-284;3049;RUA SÃO BENTO;VILA JOSÉ BONIFÁCIO;ARARAQUARA;SP;Araraquara;TERAPIA OCUPACIONAL / FISIOTERAPIA;;;;;16;997864373;9/19/2025 12:00:00 AM
PLURI CLINICA DE ATENCAO A SAUDE E SERVICOS;INSTITUTO DOPU;Nome;14025-330;295;RUA PROFESSOR VESPAZIANO PIZZA;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP;Ribeirão Preto;MEDICINA FISICA E REABILITACAO  / NEUROLOGIA  / GERIATRIA   / FONOAUDIOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / PSICOLOGIA;;;;;16;992005975;9/18/2025 12:00:00 AM
