NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
SAORT SERVICO ANDRADINENSE DE ORTOPEDIA E TRAUMATOLOGIA LTDA;ORTHOS;Nome;79150-000;1781;MARIO CORREA;ALTO SAN RAPHAEL;MARACAJU;MS;NCT de Campo Grande;ORTOPEDIA E TRAUMATOLOGIA;;;;;67;991304364;7/15/2025 12:00:00 AM
CON CORDIS NUCLEO DIAGNOSTICO LTDA;GAIA;Nome;35500-005;607;ANTONIO OLIMPIO DE MORAIS;CENTRO;DIVINOPOLIS;MG;Divinópolis;CARDIOLOGIA;37;35120718;;;;;7/15/2025 12:00:00 AM
LIELO - INSTITUTO TERAPEUTICO LTDA;LIELO - INSTITUTO TERAPEUTICO;Nome;75800-058;998;RUA RUI BARBOSA;CENTRO;JATAI;GO;Sudoeste II;TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / PSICOLOGIA;;;;;62;982652535;7/15/2025 12:00:00 AM
BRUNA FRANCIELE DA SILVA CRUZ;BRUNA FRANCIELEDA SILVA CRUZ;Nome;98780-809;434;RUA ECTORE ALBERTO BELTRAME;CENTRO;SANTA ROSA;RS;CRS 14 Santa Rosa;PSICOLOGIA;;;;;55;991511798;7/15/2025 12:00:00 AM
MULTI MAIS CLINICA SERVICOS DE SAUDE LTDA;MULTI MAIS CLINICA;Nome;60710-684;2238;AVENIDA GODOFREDO MACIEL;MARAPONGA;FORTALEZA;CE;Fortaleza;PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;;;85;988012489;7/15/2025 12:00:00 AM
NOVA SAUDE MARABA LTDA;INFINITA SAUDE MARABA;Nome;68508-070;0;QUADRA SETE;NOVA MARABA;MARABA;PA;Itacaiúnas Tocantins;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;94;33212749;;;;;7/15/2025 12:00:00 AM
LAZARI E OGUCHI CENTRO MEDICO LTDA;ENDO ORTHOS;Nome;79490-250;1367;AVENIDA SÃO FRANCISCO;PRIMO MAFFISSONI;SAO GABRIEL DO OESTE;MS;NCT de Campo Grande;ORTOPEDIA E TRAUMATOLOGIA;;;;;67;996056128;7/15/2025 12:00:00 AM
LUCIANE PENA DE OLIVEIRA;LUCIANE PENA DE OLIVEIRA;Nome;12243-760;117;RUA LEONARDO PINTO DA CUNHA;VILA HIGIENÓPOLIS;SAO JOSE DOS CAMPOS;SP;Taubaté;PSICOLOGIA;12;33073010;;;12;997485393;7/15/2025 12:00:00 AM
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;AIO INSTITUTO DE CANCER MATRIZ;Nome;71953-000;9;QS 3  EPCT LOTES 3 5 7 E 9;AREAL (ÁGUAS CLARAS);BRASILIA;DF;Distrito Federal;PSICOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA TORACICA  / CIRURGIA ONCOLÓGICA / ONCOLOGIA CLÍNICA / REUMATOLOGIA  / INFECTOLOGIA  / COLOPROCTOLOGIA / MASTOLOGIA  / CIRURGIA GERAL  / RADIOTERAPIA  / UROLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / GERIATRIA   / GENETICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / NUTRICAO;;;;;61;991759124;7/14/2025 12:00:00 AM
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;ONCOCLINICAS CETTRO MATRIZ;Nome;70710-100;10;SETOR SMHN D 02 BL A Nº 10 CONS. 1201 A 121214 - A;ASA NORTE;BRASILIA;DF;Distrito Federal;ONCOLOGIA CLÍNICA / RADIOTERAPIA  / CIRURGIA ONCOLÓGICA / CIRURGIA DO APARELHO DIGESTIVO / PSICOLOGIA  / CIRURGIA PLÁSTICA / GENETICA MÉDICA / NUTRICAO / ENFERMAGEM  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL  / MASTOLOGIA  / HEMATOLOGIA E HEMOTERAPIA;61;30276200;;;;;7/14/2025 12:00:00 AM
ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S A;ONCOCLINICAS CETTRO MATRIZ;Nome;70390-906;1;SHLS CONJUNTO A;ASA SUL;BRASILIA;DF;Distrito Federal;ONCOLOGIA CLÍNICA / RADIOTERAPIA  / CIRURGIA ONCOLÓGICA / CIRURGIA DO APARELHO DIGESTIVO / PSICOLOGIA  / CIRURGIA PLÁSTICA / GENETICA MÉDICA / NUTRICAO / ENFERMAGEM  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA GERAL  / MASTOLOGIA  / HEMATOLOGIA E HEMOTERAPIA;61;30276200;;;;;7/14/2025 12:00:00 AM
CENTRO OESTE DIAGNOSTICOS MEDICOS LTDA;IMD INTERIOR MEDICINA DIAGNOSTICA;Nome;79560-000;761;AVENIDA 16;CENTRO;CHAPADAO DO SUL;MS;NCT de Paranaíba;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;67;35624464;;;;;7/14/2025 12:00:00 AM
INSTITUTO SAO JOSE LTDA;HOSPITAL SAO JOSE;Nome;65800-000;80;DR ROOSEVELT KURY;CENTRO;BALSAS;MA;Gerais de Balsas;GASTROENTEROLOGIA  / NUTROLOGIA / PEDIATRIA  / CIRURGIA PLÁSTICA / MEDICINA DO TRABALHO / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA DA MÃO / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / REUMATOLOGIA  / OTORRINOLARINGOLOGIA  / MEDICINA DA FAMÍLIA E COMUNIDADE / PNEUMOLOGIA  / CLÍNICA MÉDICA / DERMATOLOGIA   / ENDOCRINOLOGIA E METABOLOGIA / COLOPROCTOLOGIA / CIRURGIA VASCULAR / RADIOTERAPIA  / CIRURGIA GERAL  / GENETICA MÉDICA / ENFERMAGEM  / UROLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / INFECTOLOGIA  / NEUROCIRURGIA  / CIRURGIA CARDIOVASCULAR  / PATOLOGIA / MEDICINA NUCLEAR  / CIRURGIA PEDIATRICA  / CIRURGIA ONCOLÓGICA / ANESTESIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / ONCOLOGIA CLÍNICA / ALERGIA E IMUNOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / FONOAUDIOLOGIA  / PSICOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / APARELHOS E OBJETOS FINALIDADE MÉDICA / OFTALMOLOGIA  / NEUROLOGIA  / NEFROLOGIA  / CIRURGIA TORACICA  / GERIATRIA   / MASTOLOGIA  / ACUPUNTURA  / ANGIOLOGIA;;;;;99;984596943;7/14/2025 12:00:00 AM
CLINICA MEDICA VASCULARIS LTDA;CLINICA MEDICA VASCULARIS;Nome;11701-400;358;RUA BOTAFOGO;GUILHERMINA;PRAIA GRANDE;SP;Baixada Santista;COLOPROCTOLOGIA / CIRURGIA GERAL  / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA VASCULAR / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / OTORRINOLARINGOLOGIA  / NUTRICAO;13;30188556;;;;;7/14/2025 12:00:00 AM
CENTRO MEDICO INTEGRADO DE TRATAMETNO DA DOR - CMTD LTDA;CID;Nome;12243-000;1131;AVENIDA NOVE DE JULHO;JARDIM APOLO I;SAO JOSE DOS CAMPOS;SP;Taubaté;ORTOPEDIA E TRAUMATOLOGIA  / FISIOTERAPIA;12;39211695;;;;;7/14/2025 12:00:00 AM
CLICIA FERNANDA DE MELO ALVES;CLICIA FERNANDA DE MELO ALVES FONOAUDIOLOGIA;Nome;19010-110;222;RUA ULISSES RAMOS DE CASTRO;BOSQUE;PRESIDENTE PRUDENTE;SP;Presidente Prudente;PSICOLOGIA  / FONOAUDIOLOGIA;;;;;18;997921509;07/11/2025 00:00
LEDISLEY SERVICOS DE PSICOLOGIA LTDA;LS SERVICOS DE PSICOLOGIA;Nome;75650-000;560;AV GUMERCINDO OTERO;CENRTRAL;MORRINHOS;GO;Sul;PSICOLOGIA;64;34136233;;;;;07/11/2025 00:00
EMANOELLY GOMES DOS SANTOS RODRIGUES;ABRACE;Nome;57311-052;348;RUA PORTO REAL DO COLÉGIO;JARDIM DE MARIA;ARAPIRACA;AL;Região 04;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;;;;82;999375588;07/11/2025 00:00
BURIOLA E BONFIM SERVICOS OCUPACIONAIS LTDA;CLINICA ABRACE;Nome;15020-010;2313;LORIANO PEIXOTO;NOSSA SENHORA APARECIDA - VILA;SAO JOSE DO RIO PRETO;SP;São José do Rio Preto;PSICOLOGIA;17;32343339;;;;;07/11/2025 00:00
INSTITUTO DE IMAGEM DE PAULO AFONSO LTDA;INSTITUTO DE IMAGEM DE PAULO AFONSO LTDA;Nome;48601-210;935;RUA MARECHAL FLORIANO PEIXOTO;CENTRO;PAULO AFONSO;BA;Paulo Afonso;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;75;21015000;;;;;07/10/2025 00:00
FLAMAR ATIVIDADES MEDICAS RADIOLOGICAS LTDA;MI MEDICAL IMAGE;Nome;56304-190;1064;AV PRESIDENTE TANCREDO NEVES;CENTRO;PETROLINA;PE;Petrolina;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;87;38626706;;;;;07/10/2025 00:00
ESPACO SAUDE DO CORPO PILATES FISIOTERAPIA LTDA;ESPACO SAUDE DO CORPO PILATES FISIOTERAPIA;Nome;65900-010;1138;RUA CORONEL MANOEL BANDEIRA;CENTRO;IMPERATRIZ;MA;Tocantins;FISIOTERAPIA;;;;;99;991553476;07/10/2025 00:00
CEFAI CLINICA ESPECIALIZADA EM FONOAUDIOLOGIA ADULTO E INFANTIL LTDA;CEFAI FONOAUDIOLOGIA;Nome;87302-080;360;AVENIDA MANOEL MENDES DE CAMARGO;CENTRO;CAMPO MOURAO;PR;Campo Mourão;FONOAUDIOLOGIA;;;;;44;998559681;07/10/2025 00:00
RIO TRAUMA SERVICOS MEDICOS LTDA;RIO TRAUMA;Nome;22031-011;219;RUA FIGUEIREDO MAGALHÃES;COPACABANA;RIO DE JANEIRO;RJ;Metropolitana I;ORTOPEDIA E TRAUMATOLOGIA;21;22571441;21;22573978;21;980546080;07/10/2025 00:00
TERE LIFE EMERGENCIAS MEDICAS LTDA;TERE LIFE;Nome;25085-050;94;AVENIDA PERIMETRAL FLORIANO DE GODOI;PARQUE DUQUE;DUQUE DE CAXIAS;RJ;Metropolitana I;REMOCOES;21;27424522;;;;;07/10/2025 00:00
ABRACE TERAPIAS ESPECIALIZADAS LTDA;BEATRIZ CORREA FONOAUDIOLOGIA;Nome;19020-120;276;AVENIDA CORONEL JOSÉ SOARES MARCONDES;VILA MARISTELA;PRESIDENTE PRUDENTE;SP;Presidente Prudente;FISIOTERAPIA / TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;;;;;18;996937417;07/10/2025 00:00
CEM CENTRO DE ESPECIALIDADE MEDICA LTDA - ME;UROMAIS SAUDE INTEGRAL;Nome;65900-490;611;ALAGOAS;CENTRO;IMPERATRIZ;MA;Tocantins;PNEUMOLOGIA  / UROLOGIA;99;35245445;;;;;07/09/2025 00:00
HOSPITAL DE MIRACEMA;HOSPITAL DE MIRACEMA;Nome;28460-000;500;RUA JOSE MONTEIRO DE BARROS;HOSPITAL;MIRACEMA;RJ;Noroeste;COLOPROCTOLOGIA / HEMATOLOGIA  / PEDIATRIA  / GERIATRIA   / APARELHOS E OBJETOS FINALIDADE MÉDICA / UROLOGIA  / ANESTESIOLOGIA  / ENFERMAGEM  / FISIOTERAPIA / PNEUMOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / ASSISTÊNCIA HOSPITALAR TRATAMENTO DENTÁRIO / DERMATOLOGIA   / ANGIOLOGIA E CIRURGIA VASCULAR   / CIRURGIA DO APARELHO DIGESTIVO / CARDIOLOGIA  / PSIQUIATRIA  / RADIOTERAPIA  / NUTRICAO / RESSONANCIA MAGNETICA NUCLEAR  / MEDICINA INTENSIVA / OFTALMOLOGIA  / MASTOLOGIA  / NUTROLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / HEMOTERAPIA  / CIRURGIA PLÁSTICA / PATOLOGIA / GINECOLOGIA E OBSTETRICIA  / ACUPUNTURA  / GASTROENTEROLOGIA  / TERAPIA OCUPACIONAL  / ORTOPEDIA E TRAUMATOLOGIA  / CANCEROLOGIA / CLÍNICA MÉDICA / MEDICINA NUCLEAR  / FONOAUDIOLOGIA  / INFECTOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / ALERGIA E IMUNOLOGIA  / CIRURGIA PEDIATRICA  / CIRURGIA DE CABEÇA E PESCOÇO / REMOCOES  / GENETICA MÉDICA / HOMEOPATIA  / MEDICINA DA FAMÍLIA E COMUNIDADE / PSICOLOGIA  / ULTRA-SONOGRAFIA  / CIRURGIA DA MÃO / ENDOCRINOLOGIA E METABOLOGIA / MEDICINA DO TRABALHO / NEFROLOGIA  / OTORRINOLARINGOLOGIA  / CIRURGIA CARDIOVASCULAR  / MEDICINA FISICA E REABILITACAO  / RADIODIAGNÓSTICO / NEUROCIRURGIA  / CIRURGIA GERAL  / TOMOGRAFIA COMPUTADORIZADA  / MUSICOTERAPIA  / CIRURGIA TORACICA  / NEUROLOGIA  / REUMATOLOGIA;;;;;24;999200550;07/09/2025 00:00
L & R SERVICOS MEDICOS LTDA - ME;CLINICA LAGO;Nome;47850-202;231;AVENIDA BRASÍLIA;MIMOSO DO OESTE;LUIS EDUARDO MAGALHAES;BA;Barreiras;CLÍNICA MÉDICA / CARDIOLOGIA;77;36287499;;;;;07/09/2025 00:00
CLINICA CRESCER HUMANIZADA EM PSIQUIATRIA LTDA;CLINICA CRESCER HUMANIZADA EM PSIQUIATRIA;Nome;71827-810;35;COLONIA AGRICOLA SUCUPIRA CHACARA;RIACHO FUNDO;BRASILIA;DF;Distrito Federal;PSICOLOGIA  / CLÍNICA MÉDICA / PSIQUIATRIA;61;37034046;;;;;07/09/2025 00:00
OFTALMO CENTER FRANCA LTDA;HOSPITAL OFTALMOLOGICO DE FRANCA;Nome;14400-240;1713;RUA DOUTOR ANTÔNIO RICARDO PINHO;VILA CHAMPAGNAT;FRANCA;SP;Franca;OFTALMOLOGIA;16;37210823;;;;;07/09/2025 00:00
SHEILA REGINA RODRIGUES DE OLIVEIRA ME;FISIOCLINICA;Nome;17402-014;563;RUA MARIA HELENA;WILLIAMS;GARCA;SP;Marília;FISIOTERAPIA;;;;;14;996101788;07/09/2025 00:00
SOFT-SERVICO OFTALMOLOGICA DE FEIRA DE SANTANA;VIVER OFTALMOLOGIA ESPECIALIZADA;Nome;44001-496;744;AVENIDA GETÚLIO VARGAS;CENTRO;FEIRA DE SANTANA;BA;Feira de Santana;OFTALMOLOGIA;75;36231719;;;;;07/08/2025 00:00
IMEDIATA SAUDE SERVICOS DE RESSONANCIA MAGNETICA LTDA;IMEDIATA SAUDE SERVICOS DE RESSONANCIA MAGNETICA L;Nome;56280-959;17;PEDRO JOSE RODRIGUES;CENTRO;ARARIPINA;PE;Ouricuri;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;87;991799846;07/07/2025 00:00
H D OLHOS HIROTA SERVICOS MEDICOS LTDA;H D OLHOS HOSPITAL DIA;Nome;17890-033;499;GENERAL OSORIO;CENTRO;JUNQUEIROPOLIS;SP;Presidente Prudente;OFTALMOLOGIA;18;38411003;;;;;07/04/2025 00:00
CARDIO IMAGEM LTDA;CARDIO IMAGEM;Nome;97300-072;892;RUA CELESTINO CAVALHEIRO;CENTRO;SAO GABRIEL;RS;CRS 10 Alegrete;CARDIOLOGIA;;;;;55;996495961;07/04/2025 00:00
FATURETO BORGES LTDA;CLINICOR DOURADOS;Nome;79824-070;1565;RUA MONTE ALEGRE;JARDIM AMÉRICA;DOURADOS;MS;NCT de Dourados;CARDIOLOGIA;67;34220262;;;;;07/04/2025 00:00
MARIANA ALMEIDA BRAGA;CRIAR TERAPIA OCUPACIONAL PEDIATRICA;Nome;11035-080;140;RUA ANDRÉ VIDAL DE NEGREIROS;PONTA DA PRAIA;SANTOS;SP;Baixada Santista;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;13;32615133;;;;;07/04/2025 00:00
R C ULTRASSONOGRAFIA E SERVICOS LTDA;R C ULTRASSONOGRAFIA E SERVICOS LTDA;Nome;37010-050;420;RUA MARIANA FIGUEIREDO;VILA ADELAIDE;VARGINHA;MG;Varginha;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;35;32122770;;;;;07/04/2025 00:00
LCL LABORATORIO CLINICO LTDA;LABORATORIO JAIME CERQUEIRA;Nome;45652-130;74;AV. OSVALDO CRUZ;BOA VISTA;ILHEUS;BA;Ilhéus;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;73;30271010;;;;;07/03/2025 00:00
REDE OFTALMO CLINICAS MEDICA LTDA;REDE OFTALMO;Nome;13560-642;1949;JESUINO DE ARRUDA;CENTRO;SAO CARLOS;SP;Araraquara;OFTALMOLOGIA;16;33766595;;;;;07/03/2025 00:00
MICHELE DE FATIMA REZENDE;MICHELE DE FATIMA REZENDE;Nome;37200-026;348;RUA RUY BARBOSA;CENTRO;LAVRAS;MG;Varginha;NUTRICAO;;;;;35;992465534;07/03/2025 00:00
NARA ANDREETTA SERVICOS MEDICOS LTDA;NARA ANDREETTA SERVICOS MEDICOS LTDA;Nome;12246-190;230;RUA DOUTOR ORLANDO FEIRABEND FILHO;PARQUE RESIDENCIAL AQUARIUS;SAO JOSE DOS CAMPOS;SP;Taubaté;DERMATOLOGIA;12;39421134;;;;;07/03/2025 00:00
VITORIA DIAGNOSTICOS LABORATORIAIS LTDA;LABORATORIO SILVANO SARMENTO;Nome;55604-070;361;AVENIDA DOUTOR AGAMENON MAGALHÃES;SÃO VICENTE DE PAULO;VITORIA DE SANTO ANTAO;PE;Recife;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;81;35237382;;;;;07/03/2025 00:00
RODRIGO GOUVEA HILL;;Nome;36770-044;445;RUA DOUTOR ANTÔNIO CAVALCANTI SOBRAL;CENTRO;CATAGUASES;MG;Leopoldina;DERMATOLOGIA;;;;;32;998367827;07/02/2025 00:00
VER TE OFTALMOLOGIA LTDA;VER TE OFTALMOLOGIA;Nome;14026-020;1520;AVENIDA CORONEL FERNANDO FERREIRA LEITE;JARDIM CALIFÓRNIA;RIBEIRAO PRETO;SP;Ribeirão Preto;OFTALMOLOGIA;16;36027160;;;;;07/02/2025 00:00
SAO PIETRO SERVICOS DE SAUDE LTDA;SAO PIETRO SERVICOS DE SAUDE LTDA;Nome;92020-333;4851;GETULIO VARGAS;MARECHAL RONDON;CANOAS;RS;CRS 01 Porto Alegre;OFTALMOLOGIA  / UROLOGIA;51;31354444;51;30183158;;;07/02/2025 00:00
LAMED CLINICA MEDICA LTDA;LAMED CLINICA MEDICA;Nome;88303-302;1060;INDAIAL;SAO JUDAS;ITAJAI;SC;Itajaí;HOMEOPATIA  / ACUPUNTURA  / NUTROLOGIA;47;32400208;;;;;07/02/2025 00:00
FESO FUNDACAO EDUCACIONAL SERRA DOS ORGAOS;HOSPITAL DAS CLINICAS DE TERESOPOLIS;Nome;25976-016;2211;AVENIDA DELFIM MOREIRA;VARZEA;TERESOPOLIS;RJ;Serrana;ANESTESIOLOGIA  / PATOLOGIA / OFTALMOLOGIA  / ANGIOLOGIA E CIRURGIA VASCULAR   / HEMOTERAPIA  / ANGIOLOGIA / PEDIATRIA  / ULTRA-SONOGRAFIA  / FISIOTERAPIA / CIRURGIA CARDIOVASCULAR  / UROLOGIA  / CIRURGIA GERAL  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CARDIOLOGIA  / NEFROLOGIA  / GINECOLOGIA E OBSTETRICIA  / RADIODIAGNÓSTICO / CIRURGIA VASCULAR / CLÍNICA MÉDICA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA DE CABEÇA E PESCOÇO / NEUROCIRURGIA  / CIRURGIA PLÁSTICA / ORTOPEDIA E TRAUMATOLOGIA  / PNEUMOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / NEUROLOGIA  / MEDICINA FISICA E REABILITACAO  / ENDOSCOPIA / RESSONANCIA MAGNETICA NUCLEAR;21;21524926;;;21;967714616;07/02/2025 00:00
CLINICA MEDICA DRA LUCIANA FLORENZANO LIMITADA;CLINICA MEDICA DRA LUCIANA FLORENZANO LIMITADA;Nome;27261-220;38;RUA QUARENTA E OITO;VILA SANTA CECÍLIA;VOLTA REDONDA;RJ;Médio Paraíba;GINECOLOGIA E OBSTETRICIA;24;33481048;;;;;07/02/2025 00:00
EQUIPE TEA LTDA;EQUIPE TEA;Fantasia;68902-170;57; DOS TIMBIRAS;BEIROL;MACAPA;AP;I Regional de Saúde;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL / GINECOLOGIA E OBSTETRICIA;96;33885121;;;96;999091244;07/01/2025 00:00
YANNA KENDALLY OLIVEIRA SANTOS ME;YANNA KENDALLY OLIVEIRA SANTOS;Nome;45810-000;505;RUA PERO VAZ DE CAMINHA;CENTRO;PORTO SEGURO;BA;Eunápolis;ORTOPEDIA E TRAUMATOLOGIA;;;;;71;982172701;07/01/2025 00:00
LUIZ CARLOS FEITOSA SANTANA;LUIZ CARLOS FEITOSA SANTANA;Nome;88330-045;1151;AVENIDA BRASIL;CENTRO;BALNEARIO CAMBORIU;SC;Balneário Camboriú;FISIOTERAPIA;;;;;47;996574418;07/01/2025 00:00
EDNA MARIA NUNES CARNIEL;EDNA MARIA NUNES CARNIEL;Nome;15600-000;1317;BRASIL;JARDIM BELA VISTA;FERNANDOPOLIS;SP;São José do Rio Preto;GINECOLOGIA E OBSTETRICIA  / ACUPUNTURA;17;34426222;;;;;07/01/2025 00:00
DEBORAH ALINE ALVES MOREIRA;DEBORAH ALINE ALVES MOREIRA;Nome;74075-220;72;RUA 6 A;SETOR AEROPORTO;GOIANIA;GO;Central;GINECOLOGIA E OBSTETRICIA;62;30939663;62;32233107;62;991587687;07/01/2025 00:00
ENDOVASCULAR DF SERVICOS EM SAUDE LTDA;ENDOVASCULAR DF SERVICOS EM SAUDE;Nome;70390-145;714;SEPS 714/914;ASA SUL;BRASILIA;DF;Distrito Federal;CIRURGIA VASCULAR / ANGIOLOGIA;61;32134304;;;;;6/30/2025 12:00:00 AM
CLINICA PERSIVAL ANGELO LTDA;INPA INSTITUTO DE NEUROPSICOLOGIA;Nome;89203-088;71;RUA DOUTOR ROBERT KOCH;ATIRADORES;JOINVILLE;SC;Joinville;PSICOLOGIA;48;39522900;;;47;999920176;6/30/2025 12:00:00 AM
CLINICA GENESIS LTDA;CLINICA GENESIS;Nome;77803-100;1866;AVENIDA PARANAIBA;CENTRO;ARAGUAINA;TO;Região de Saúde Médio Norte;PSICOLOGIA  / OFTALMOLOGIA;63;34141328;;;;;6/30/2025 12:00:00 AM
DEDIC SAUDE CONSULTORIA E CUIDADOS EM SAUDE LTDA;DEDIC SAUDE CONSULTORIA E CUIDADOS EM SAUDE;Nome;62500-025;239;RUA JOSÉ AIRTON TEIXEIRA;CENTRO;ITAPIPOCA;CE;Itapipoca;NUTRICAO / PNEUMOLOGIA  / NEFROLOGIA  / CIRURGIA GERAL  / CLÍNICA MÉDICA / PSICOLOGIA  / GINECOLOGIA E OBSTETRICIA  / FONOAUDIOLOGIA  / FISIOTERAPIA / CARDIOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA;;;;;88;981819988;6/30/2025 12:00:00 AM
IDENGENE MEDICINA DIAGNOSTICA S A;ONCOCLINICAS CQO THE PLACE;Nome;90570-020;126;RUA TOBIAS DA SILVA;MOINHOS DE VENTO;PORTO ALEGRE;RS;CRS 01 Porto Alegre;RADIOTERAPIA  / CIRURGIA ONCOLÓGICA / ONCOLOGIA CLÍNICA / ENFERMAGEM  / HEMATOLOGIA E HEMOTERAPIA / GENETICA MÉDICA / REUMATOLOGIA;31;33088000;;;;;6/30/2025 12:00:00 AM
TERAPIA KIDS LTDA;TERAPIA KIDS;Nome;75803-095;700;RUA DONA ESMERALDA;VILA FÁTIMA;JATAI;GO;Sudoeste II;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;;;;;64;999897917;6/30/2025 12:00:00 AM
S A HAMDALLA PATUSSI FONOAUDIOLOGIA LTDA;AUDICLINIC FONOAUDIOLOGIA;Nome;19015-650;216;RUA MARIA DA GLORIA;VILA SANTA HELENA;PRESIDENTE PRUDENTE;SP;Presidente Prudente;FONOAUDIOLOGIA;;;;;18;996913440;6/30/2025 12:00:00 AM
INSTITUTO REABILITA LTDA;INSTITUTO REABILITA;Nome;78840-079;798;RUA SÃO SALVADOR;CAMPO REAL II;CAMPO VERDE;MT;Rondonópolis;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / NUTRICAO;;;;;66;996161789;6/27/2025 12:00:00 AM
MEDSOLUTION ATIVIDADES MEDICAS LTDA;MEDIALISE CENTRO DE HEMODIALISE SAO VICENTE;Nome;11310-330;175;TREZE DE MAIO;CENTRO;SAO VICENTE;SP;Baixada Santista;NEFROLOGIA;13;34678179;;;;;6/27/2025 12:00:00 AM
CUIDAR DE SI PRESTACAO DE SERVICOS EM SAUDE LTDA;CUIDAR DE SI;Nome;35670-000;572;RUA MIGUEL ALVES DINIZ;CENTRO;MATEUS LEME;MG;Belo Horizonte;MASTOLOGIA  / DERMATOLOGIA   / NEUROLOGIA  / PSICOLOGIA  / NUTRICAO / UROLOGIA  / NEFROLOGIA  / ANESTESIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA VASCULAR / CIRURGIA DO APARELHO DIGESTIVO / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA / CIRURGIA GERAL  / ORTOPEDIA E TRAUMATOLOGIA;31;35351769;;;31;985277040;6/27/2025 12:00:00 AM
DIVERTIDAMENTE SETTING TERAPEUTICO LTDA;52 646 142 LTDA;Nome;57052-660;31;RUA JOÃO PAULO II;GRUTA DE LOURDES;MACEIO;AL;Região 01;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;82;21409438;;;82;993253402;6/27/2025 12:00:00 AM
BEABA DESENVOLVIMENTO E APRENDIZAGEM LTDA;BEABA -  DESENVOLVIMENTO E APRENDIZAGEM LTDA;Nome;57036-400;536;AV PRESTATO FERREIRA MACHADO;JATIUCA;MACEIO;AL;Região 01;FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;;;;82;991249793;6/27/2025 12:00:00 AM
